HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
0.70,1.05,0.9411764705882353,1509,0.64,1.64,0.5882352941176471,1409,0
1.35,1.00,1.6470588235294117,1608,0.88,1.00,1.3529411764705883,1549,0
1.06,0.93,1.375,1483,1.35,0.47,1.7647058823529411,1712,2
0.62,1.37,1.0625,1433,1.82,0.76,1.9411764705882353,1651,2
1.58,1.00,2.0,1676,1.35,1.00,1.6470588235294117,1608,0
1.35,0.47,1.7647058823529411,1712,1.29,1.00,1.6470588235294117,1604,1
0.64,1.64,0.5882352941176471,1409,1.05,1.64,1.2941176470588236,1510,2
0.88,1.00,1.3529411764705883,1549,1.06,0.93,1.375,1483,1
0.82,0.64,1.411764705882353,1574,0.70,1.05,0.9411764705882353,1509,1
0.94,0.76,1.1764705882352942,1540,0.52,1.47,0.8823529411764706,1411,2
1.35,1.47,1.1764705882352942,1516,1.00,0.82,1.4705882352941178,1570,1
1.05,1.64,1.2941176470588236,1510,0.82,0.64,1.411764705882353,1574,1
1.29,1.00,1.6470588235294117,1604,0.88,1.00,1.3529411764705883,1549,2
1.06,0.93,1.375,1483,1.58,1.00,2.0,1676,2
0.52,1.47,0.8823529411764706,1411,1.82,0.76,1.9411764705882353,1651,2
0.70,1.05,0.9411764705882353,1509,1.35,0.47,1.7647058823529411,1712,2
1.00,0.82,1.4705882352941178,1570,0.64,1.64,0.5882352941176471,1409,0
1.35,1.47,1.1764705882352942,1516,0.62,1.37,1.0625,1433,0
1.35,1.00,1.6470588235294117,1608,0.94,0.76,1.1764705882352942,1540,1
1.58,1.00,2.0,1676,1.29,1.00,1.6470588235294117,1604,1
0.64,1.64,0.5882352941176471,1409,1.35,1.47,1.1764705882352942,1516,1
0.88,1.00,1.3529411764705883,1549,0.70,1.05,0.9411764705882353,1509,0
0.94,0.76,1.1764705882352942,1540,1.06,0.93,1.375,1483,0
0.62,1.37,1.0625,1433,0.52,1.47,0.8823529411764706,1411,0
1.82,0.76,1.9411764705882353,1651,1.35,1.00,1.6470588235294117,1608,0
1.35,0.47,1.7647058823529411,1712,1.05,1.64,1.2941176470588236,1510,0
0.82,0.64,1.411764705882353,1574,1.00,0.82,1.4705882352941178,1570,1
0.64,1.64,0.5882352941176471,1409,0.62,1.37,1.0625,1433,0
0.70,1.05,0.9411764705882353,1509,1.58,1.00,2.0,1676,2
1.06,0.93,1.375,1483,1.82,0.76,1.9411764705882353,1651,1
1.35,1.00,1.6470588235294117,1608,0.52,1.47,0.8823529411764706,1411,0
1.05,1.64,1.2941176470588236,1510,0.88,1.00,1.3529411764705883,1549,0
1.29,1.00,1.6470588235294117,1604,0.94,0.76,1.1764705882352942,1540,0
1.00,0.82,1.4705882352941178,1570,1.35,0.47,1.7647058823529411,1712,1
1.35,1.47,1.1764705882352942,1516,0.82,0.64,1.411764705882353,1574,2
0.94,0.76,1.1764705882352942,1540,0.70,1.05,0.9411764705882353,1509,0
1.58,1.00,2.0,1676,1.05,1.64,1.2941176470588236,1510,0
0.82,0.64,1.411764705882353,1574,0.64,1.64,0.5882352941176471,1409,0
0.62,1.37,1.0625,1433,1.35,1.00,1.6470588235294117,1608,2
0.88,1.00,1.3529411764705883,1549,1.00,0.82,1.4705882352941178,1570,1
1.82,0.76,1.9411764705882353,1651,1.29,1.00,1.6470588235294117,1604,2
1.35,0.47,1.7647058823529411,1712,1.35,1.47,1.1764705882352942,1516,0
0.52,1.47,0.8823529411764706,1411,1.06,0.93,1.375,1483,2
0.70,1.05,0.9411764705882353,1509,1.82,0.76,1.9411764705882353,1651,2
1.00,0.82,1.4705882352941178,1570,1.58,1.00,2.0,1676,2
1.06,0.93,1.375,1483,1.35,1.00,1.6470588235294117,1608,0
1.35,1.47,1.1764705882352942,1516,0.88,1.00,1.3529411764705883,1549,0
0.64,1.64,0.5882352941176471,1409,1.35,0.47,1.7647058823529411,1712,1
1.29,1.00,1.6470588235294117,1604,0.52,1.47,0.8823529411764706,1411,0
0.82,0.64,1.411764705882353,1574,0.62,1.37,1.0625,1433,2
1.05,1.64,1.2941176470588236,1510,0.94,0.76,1.1764705882352942,1540,1
0.70,1.05,0.9411764705882353,1509,0.52,1.47,0.8823529411764706,1411,0
0.88,1.00,1.3529411764705883,1549,0.64,1.64,0.5882352941176471,1409,0
0.62,1.37,1.0625,1433,1.06,0.93,1.375,1483,2
1.35,0.47,1.7647058823529411,1712,0.82,0.64,1.411764705882353,1574,2
1.58,1.00,2.0,1676,1.35,1.47,1.1764705882352942,1516,0
1.05,1.64,1.2941176470588236,1510,1.82,0.76,1.9411764705882353,1651,2
1.35,1.00,1.6470588235294117,1608,1.29,1.00,1.6470588235294117,1604,1
0.94,0.76,1.1764705882352942,1540,1.00,0.82,1.4705882352941178,1570,1
0.62,1.37,1.0625,1433,1.35,0.47,1.7647058823529411,1712,1
0.70,1.05,0.9411764705882353,1509,1.35,1.00,1.6470588235294117,1608,1
0.64,1.64,0.5882352941176471,1409,1.58,1.00,2.0,1676,2
1.00,0.82,1.4705882352941178,1570,1.82,0.76,1.9411764705882353,1651,0
1.35,1.47,1.1764705882352942,1516,0.94,0.76,1.1764705882352942,1540,1
1.05,1.64,1.2941176470588236,1510,0.52,1.47,0.8823529411764706,1411,2
1.29,1.00,1.6470588235294117,1604,1.06,0.93,1.375,1483,0
