HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.76,1.23,1.7058823529411764,1561,0.94,1.41,0.9411764705882353,1514,1
1.64,1.35,1.5294117647058822,1598,1.11,1.64,0.7058823529411765,1345,0
1.11,1.52,1.0,1407,1.05,1.11,1.2941176470588236,1422,0
1.52,0.94,1.7058823529411764,1466,1.76,1.23,1.7058823529411764,1561,0
0.88,1.47,1.1176470588235294,1384,1.41,1.35,1.411764705882353,1440,0
0.94,1.41,0.9411764705882353,1514,1.00,1.52,1.1764705882352942,1350,2
1.35,1.17,1.4705882352941178,1459,1.29,0.47,2.0588235294117645,1613,2
0.94,1.29,0.9411764705882353,1351,2.17,1.64,1.7058823529411764,1478,1
1.11,1.23,1.588235294117647,1440,1.88,1.29,1.7058823529411764,1516,1
1.00,1.00,1.2352941176470589,1407,0.76,1.29,1.0588235294117647,1400,0
1.88,1.29,1.7058823529411764,1516,0.94,1.29,0.9411764705882353,1351,1
1.11,1.64,0.7058823529411765,1345,1.35,1.17,1.4705882352941178,1459,1
1.05,1.11,1.2941176470588236,1422,1.64,1.35,1.5294117647058822,1598,0
1.00,1.52,1.1764705882352942,1350,1.52,0.94,1.7058823529411764,1466,0
0.76,1.29,1.0588235294117647,1400,1.11,1.23,1.588235294117647,1440,2
1.41,1.35,1.411764705882353,1440,0.94,1.41,0.9411764705882353,1514,1
2.17,1.64,1.7058823529411764,1478,1.11,1.52,1.0,1407,0
1.29,0.47,2.0588235294117645,1613,0.88,1.47,1.1176470588235294,1384,0
1.76,1.23,1.7058823529411764,1561,1.00,1.00,1.2352941176470589,1407,1
1.52,0.94,1.7058823529411764,1466,1.41,1.35,1.411764705882353,1440,1
1.35,1.17,1.4705882352941178,1459,1.64,1.35,1.5294117647058822,1598,1
0.94,1.41,0.9411764705882353,1514,1.29,0.47,2.0588235294117645,1613,1
1.11,1.52,1.0,1407,1.88,1.29,1.7058823529411764,1516,2
0.88,1.47,1.1176470588235294,1384,1.11,1.64,0.7058823529411765,1345,1
0.94,1.29,0.9411764705882353,1351,0.76,1.29,1.0588235294117647,1400,0
1.00,1.00,1.2352941176470589,1407,1.00,1.52,1.1764705882352942,1350,0
1.11,1.23,1.588235294117647,1440,1.76,1.23,1.7058823529411764,1561,2
2.17,1.64,1.7058823529411764,1478,1.05,1.11,1.2941176470588236,1422,0
1.29,0.47,2.0588235294117645,1613,1.52,0.94,1.7058823529411764,1466,1
1.00,1.52,1.1764705882352942,1350,1.11,1.23,1.588235294117647,1440,2
1.41,1.35,1.411764705882353,1440,1.00,1.00,1.2352941176470589,1407,0
1.11,1.64,0.7058823529411765,1345,0.94,1.41,0.9411764705882353,1514,0
1.05,1.11,1.2941176470588236,1422,1.35,1.17,1.4705882352941178,1459,0
1.88,1.29,1.7058823529411764,1516,2.17,1.64,1.7058823529411764,1478,0
1.64,1.35,1.5294117647058822,1598,0.88,1.47,1.1176470588235294,1384,0
0.76,1.29,1.0588235294117647,1400,1.11,1.52,1.0,1407,0
1.76,1.23,1.7058823529411764,1561,0.94,1.29,0.9411764705882353,1351,0
0.94,1.41,0.9411764705882353,1514,1.64,1.35,1.5294117647058822,1598,1
2.17,1.64,1.7058823529411764,1478,0.76,1.29,1.0588235294117647,1400,2
1.11,1.23,1.588235294117647,1440,1.41,1.35,1.411764705882353,1440,0
1.11,1.52,1.0,1407,1.76,1.23,1.7058823529411764,1561,0
1.52,0.94,1.7058823529411764,1466,1.11,1.64,0.7058823529411765,1345,0
1.88,1.29,1.7058823529411764,1516,1.05,1.11,1.2941176470588236,1422,2
0.88,1.47,1.1176470588235294,1384,1.35,1.17,1.4705882352941178,1459,2
0.94,1.29,0.9411764705882353,1351,1.00,1.52,1.1764705882352942,1350,2
1.00,1.00,1.2352941176470589,1407,1.29,0.47,2.0588235294117645,1613,1
0.76,1.29,1.0588235294117647,1400,1.88,1.29,1.7058823529411764,1516,0
1.41,1.35,1.411764705882353,1440,0.94,1.29,0.9411764705882353,1351,1
1.11,1.64,0.7058823529411765,1345,1.00,1.00,1.2352941176470589,1407,1
1.35,1.17,1.4705882352941178,1459,0.94,1.41,0.9411764705882353,1514,2
1.29,0.47,2.0588235294117645,1613,1.11,1.23,1.588235294117647,1440,0
1.05,1.11,1.2941176470588236,1422,0.88,1.47,1.1176470588235294,1384,0
1.64,1.35,1.5294117647058822,1598,1.52,0.94,1.7058823529411764,1466,0
1.00,1.52,1.1764705882352942,1350,1.11,1.52,1.0,1407,0
1.76,1.23,1.7058823529411764,1561,2.17,1.64,1.7058823529411764,1478,0
2.17,1.64,1.7058823529411764,1478,1.00,1.52,1.1764705882352942,1350,0
0.94,1.29,0.9411764705882353,1351,1.29,0.47,2.0588235294117645,1613,2
1.00,1.00,1.2352941176470589,1407,1.64,1.35,1.5294117647058822,1598,1
1.11,1.23,1.588235294117647,1440,1.11,1.64,0.7058823529411765,1345,0
1.88,1.29,1.7058823529411764,1516,1.76,1.23,1.7058823529411764,1561,0
0.94,1.41,0.9411764705882353,1514,0.88,1.47,1.1176470588235294,1384,2
0.76,1.29,1.0588235294117647,1400,1.05,1.11,1.2941176470588236,1422,0
1.11,1.52,1.0,1407,1.41,1.35,1.411764705882353,1440,1
1.52,0.94,1.7058823529411764,1466,1.35,1.17,1.4705882352941178,1459,2
1.76,1.23,1.7058823529411764,1561,0.76,1.29,1.0588235294117647,1400,0
1.29,0.47,2.0588235294117645,1613,1.11,1.52,1.0,1407,0
1.41,1.35,1.411764705882353,1440,2.17,1.64,1.7058823529411764,1478,2
1.35,1.17,1.4705882352941178,1459,1.00,1.00,1.2352941176470589,1407,1
1.64,1.35,1.5294117647058822,1598,1.11,1.23,1.588235294117647,1440,2
0.88,1.47,1.1176470588235294,1384,1.52,0.94,1.7058823529411764,1466,1
1.05,1.11,1.2941176470588236,1422,0.94,1.41,0.9411764705882353,1514,0
1.00,1.52,1.1764705882352942,1350,1.88,1.29,1.7058823529411764,1516,1
1.11,1.64,0.7058823529411765,1345,0.94,1.29,0.9411764705882353,1351,1
2.17,1.64,1.7058823529411764,1478,1.29,0.47,2.0588235294117645,1613,0
1.76,1.23,1.7058823529411764,1561,1.05,1.11,1.2941176470588236,1422,0
0.94,1.29,0.9411764705882353,1351,1.64,1.35,1.5294117647058822,1598,2
0.76,1.29,1.0588235294117647,1400,1.00,1.52,1.1764705882352942,1350,2
1.11,1.52,1.0,1407,1.11,1.64,0.7058823529411765,1345,1
1.52,0.94,1.7058823529411764,1466,0.94,1.41,0.9411764705882353,1514,0
1.00,1.00,1.2352941176470589,1407,0.88,1.47,1.1176470588235294,1384,1
1.11,1.23,1.588235294117647,1440,1.35,1.17,1.4705882352941178,1459,1
1.88,1.29,1.7058823529411764,1516,1.41,1.35,1.411764705882353,1440,0
0.88,1.47,1.1176470588235294,1384,1.11,1.23,1.588235294117647,1440,0
1.35,1.17,1.4705882352941178,1459,0.94,1.29,0.9411764705882353,1351,0
1.05,1.11,1.2941176470588236,1422,1.52,0.94,1.7058823529411764,1466,2
1.29,0.47,2.0588235294117645,1613,1.88,1.29,1.7058823529411764,1516,0
1.64,1.35,1.5294117647058822,1598,1.11,1.52,1.0,1407,0
1.41,1.35,1.411764705882353,1440,0.76,1.29,1.0588235294117647,1400,0
1.11,1.64,0.7058823529411765,1345,2.17,1.64,1.7058823529411764,1478,2
0.94,1.41,0.9411764705882353,1514,1.00,1.00,1.2352941176470589,1407,0
