HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.25,1.05,1.55,1463,1.30,1.80,1.0,1321,0
0.75,1.60,0.8,1313,1.35,0.85,1.6,1414,0
1.15,0.95,1.6,1395,1.25,1.05,1.55,1463,1
1.80,0.95,1.95,1491,1.35,1.00,1.5,1443,1
1.30,1.80,1.0,1321,0.75,1.30,1.0,1317,0
1.25,1.50,1.3,1343,1.73,0.63,2.3157894736842106,1501,2
0.57,1.36,0.6842105263157895,1312,1.00,0.60,1.75,1446,2
1.30,0.85,1.7,1453,0.75,1.15,1.1,1362,0
0.85,1.60,1.1,1312,1.20,0.90,1.3,1400,2
1.20,0.80,1.6,1451,1.15,0.95,1.6,1381,0
1.05,1.30,1.2,1397,0.75,1.35,0.9,1329,0
0.75,1.30,1.0,1317,1.30,0.85,1.7,1453,0
1.35,0.85,1.6,1414,1.05,1.30,1.2,1397,2
1.35,1.00,1.5,1443,1.20,0.80,1.6,1451,2
1.00,0.60,1.75,1446,0.75,1.60,0.8,1313,1
1.15,0.95,1.6,1381,1.80,0.95,1.95,1491,1
0.75,1.15,1.1,1362,0.85,1.60,1.1,1312,2
0.75,1.35,0.9,1329,1.25,1.50,1.3,1343,2
1.20,0.90,1.3,1400,1.15,0.95,1.6,1395,0
1.30,1.80,1.0,1321,1.73,0.63,2.3157894736842106,1501,2
1.20,0.80,1.6,1451,1.35,0.85,1.6,1414,1
0.75,1.60,0.8,1313,0.75,1.30,1.0,1317,0
1.25,1.50,1.3,1343,1.05,1.30,1.2,1397,2
0.57,1.36,0.6842105263157895,1312,1.35,1.00,1.5,1443,1
1.30,0.85,1.7,1453,1.15,0.95,1.6,1381,1
1.15,0.95,1.6,1395,1.00,0.60,1.75,1446,2
0.85,1.60,1.1,1312,1.25,1.05,1.55,1463,1
0.75,1.15,1.1,1362,1.20,0.90,1.3,1400,1
1.80,0.95,1.95,1491,0.75,1.35,0.9,1329,0
1.35,1.00,1.5,1443,1.25,1.50,1.3,1343,0
0.75,1.30,1.0,1317,0.85,1.60,1.1,1312,0
1.00,0.60,1.75,1446,1.20,0.80,1.6,1451,0
1.15,0.95,1.6,1381,1.30,1.80,1.0,1321,0
1.73,0.63,2.3157894736842106,1501,0.75,1.60,0.8,1313,0
1.25,1.05,1.55,1463,0.75,1.15,1.1,1362,0
1.35,0.85,1.6,1414,1.80,0.95,1.95,1491,0
0.75,1.35,0.9,1329,1.15,0.95,1.6,1395,2
1.05,1.30,1.2,1397,0.57,1.36,0.6842105263157895,1312,1
1.20,0.90,1.3,1400,1.30,0.85,1.7,1453,1
1.15,0.95,1.6,1395,1.73,0.63,2.3157894736842106,1501,1
1.30,1.80,1.0,1321,1.00,0.60,1.75,1446,1
0.75,1.60,0.8,1313,1.35,1.00,1.5,1443,2
1.25,1.50,1.3,1343,0.57,1.36,0.6842105263157895,1312,2
1.30,0.85,1.7,1453,1.35,0.85,1.6,1414,1
1.25,1.05,1.55,1463,1.20,0.90,1.3,1400,1
