HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.27,1.88,1.0555555555555556,1428,1.72,1.00,1.8888888888888888,1538,2
1.27,1.11,1.6111111111111112,1416,2.55,0.88,2.6666666666666665,1782,2
0.94,2.11,0.6111111111111112,1381,1.33,1.05,1.4444444444444444,1517,2
1.61,2.05,1.2777777777777777,1415,1.44,1.55,0.7777777777777778,1413,0
1.33,1.05,1.4444444444444444,1517,0.94,1.38,1.1111111111111112,1522,1
2.55,0.88,2.6666666666666665,1782,0.94,2.11,0.6111111111111112,1381,0
1.72,1.00,1.8888888888888888,1538,1.61,1.38,1.5,1454,0
0.94,1.44,0.9444444444444444,1385,1.61,2.05,1.2777777777777777,1415,0
1.33,1.11,1.5,1488,1.27,1.88,1.0555555555555556,1428,0
1.44,1.55,0.7777777777777778,1413,1.27,1.11,1.6111111111111112,1416,2
0.94,2.11,0.6111111111111112,1381,1.27,1.88,1.0555555555555556,1428,1
0.94,1.38,1.1111111111111112,1522,0.94,1.44,0.9444444444444444,1385,0
1.61,2.05,1.2777777777777777,1415,1.72,1.00,1.8888888888888888,1538,2
1.61,1.38,1.5,1454,1.33,1.05,1.4444444444444444,1517,1
1.27,1.11,1.6111111111111112,1416,1.33,1.11,1.5,1488,1
1.44,1.55,0.7777777777777778,1413,2.55,0.88,2.6666666666666665,1782,2
1.33,1.05,1.4444444444444444,1517,1.44,1.55,0.7777777777777778,1413,1
1.72,1.00,1.8888888888888888,1538,0.94,1.38,1.1111111111111112,1522,0
1.33,1.11,1.5,1488,0.94,2.11,0.6111111111111112,1381,0
0.94,1.44,0.9444444444444444,1385,1.27,1.11,1.6111111111111112,1416,2
2.55,0.88,2.6666666666666665,1782,1.61,2.05,1.2777777777777777,1415,0
1.27,1.88,1.0555555555555556,1428,1.61,1.38,1.5,1454,2
1.27,1.11,1.6111111111111112,1416,1.33,1.05,1.4444444444444444,1517,0
0.94,2.11,0.6111111111111112,1381,1.72,1.00,1.8888888888888888,1538,2
0.94,1.38,1.1111111111111112,1522,1.61,1.38,1.5,1454,1
2.55,0.88,2.6666666666666665,1782,1.33,1.11,1.5,1488,0
1.61,2.05,1.2777777777777777,1415,1.27,1.88,1.0555555555555556,1428,0
1.44,1.55,0.7777777777777778,1413,0.94,1.44,0.9444444444444444,1385,2
1.61,1.38,1.5,1454,1.33,1.11,1.5,1488,0
1.72,1.00,1.8888888888888888,1538,1.27,1.11,1.6111111111111112,1416,1
1.61,2.05,1.2777777777777777,1415,0.94,2.11,0.6111111111111112,1381,2
0.94,1.44,0.9444444444444444,1385,1.33,1.05,1.4444444444444444,1517,2
0.94,1.38,1.1111111111111112,1522,1.44,1.55,0.7777777777777778,1413,1
1.27,1.88,1.0555555555555556,1428,2.55,0.88,2.6666666666666665,1782,2
1.27,1.11,1.6111111111111112,1416,1.61,1.38,1.5,1454,0
0.94,2.11,0.6111111111111112,1381,0.94,1.38,1.1111111111111112,1522,2
2.55,0.88,2.6666666666666665,1782,1.72,1.00,1.8888888888888888,1538,0
1.33,1.05,1.4444444444444444,1517,1.61,2.05,1.2777777777777777,1415,0
1.44,1.55,0.7777777777777778,1413,1.27,1.88,1.0555555555555556,1428,2
