HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.31,1.84,1.0526315789473684,1543,1.94,0.89,2.3157894736842106,1842,2
0.63,1.94,0.5263157894736842,1461,1.31,0.94,1.368421052631579,1668,1
0.84,1.21,0.9473684210526315,1542,1.36,1.05,1.631578947368421,1691,2
1.68,1.21,1.5263157894736843,1632,1.26,1.00,1.4210526315789473,1675,2
0.89,1.21,1.3157894736842106,1514,0.63,1.94,0.5263157894736842,1461,1
1.47,1.10,1.6842105263157894,1702,0.78,1.42,0.8947368421052632,1521,0
0.73,1.84,0.5789473684210527,1504,1.57,1.68,1.3157894736842106,1588,2
0.78,1.52,0.6842105263157895,1510,2.05,1.42,1.4736842105263157,1711,2
2.00,0.57,2.789473684210526,1962,0.89,1.31,1.0526315789473684,1543,0
1.63,0.73,2.0526315789473686,1771,1.31,1.84,1.0526315789473684,1543,0
1.31,0.94,1.368421052631579,1668,1.78,1.26,1.5789473684210527,1774,1
1.94,0.89,2.3157894736842106,1842,1.15,1.94,0.8421052631578947,1537,0
1.36,1.05,1.631578947368421,1691,1.31,1.84,1.0526315789473684,1543,0
1.47,1.10,1.6842105263157894,1702,1.63,0.73,2.0526315789473686,1771,2
0.78,1.42,0.8947368421052632,1521,0.63,1.94,0.5263157894736842,1461,2
1.57,1.68,1.3157894736842106,1588,0.78,1.52,0.6842105263157895,1510,1
1.94,0.89,2.3157894736842106,1842,1.78,1.26,1.5789473684210527,1774,1
1.36,1.05,1.631578947368421,1691,1.68,1.21,1.5263157894736843,1632,0
1.31,1.84,1.0526315789473684,1543,0.84,1.21,0.9473684210526315,1542,1
0.89,1.31,1.0526315789473684,1543,0.73,1.84,0.5789473684210527,1504,0
1.26,1.00,1.4210526315789473,1675,1.31,0.94,1.368421052631579,1668,1
1.15,1.94,0.8421052631578947,1537,2.00,0.57,2.789473684210526,1962,2
2.05,1.42,1.4736842105263157,1711,0.89,1.21,1.3157894736842106,1514,0
1.68,1.21,1.5263157894736843,1632,1.57,1.68,1.3157894736842106,1588,1
0.89,1.21,1.3157894736842106,1514,1.47,1.10,1.6842105263157894,1702,2
1.63,0.73,2.0526315789473686,1771,1.36,1.05,1.631578947368421,1691,0
0.63,1.94,0.5263157894736842,1461,1.15,1.94,0.8421052631578947,1537,1
1.31,0.94,1.368421052631579,1668,0.89,1.31,1.0526315789473684,1543,1
0.73,1.84,0.5789473684210527,1504,2.05,1.42,1.4736842105263157,1711,2
0.78,1.52,0.6842105263157895,1510,1.26,1.00,1.4210526315789473,1675,1
0.84,1.21,0.9473684210526315,1542,1.94,0.89,2.3157894736842106,1842,2
1.78,1.26,1.5789473684210527,1774,0.78,1.42,0.8947368421052632,1521,2
2.00,0.57,2.789473684210526,1962,1.31,1.84,1.0526315789473684,1543,1
0.78,1.42,0.8947368421052632,1521,1.63,0.73,2.0526315789473686,1771,2
1.94,0.89,2.3157894736842106,1842,1.57,1.68,1.3157894736842106,1588,0
1.36,1.05,1.631578947368421,1691,0.73,1.84,0.5789473684210527,1504,0
1.47,1.10,1.6842105263157894,1702,1.31,0.94,1.368421052631579,1668,0
1.31,1.84,1.0526315789473684,1543,0.89,1.21,1.3157894736842106,1514,2
2.05,1.42,1.4736842105263157,1711,1.68,1.21,1.5263157894736843,1632,2
0.84,1.21,0.9473684210526315,1542,2.00,0.57,2.789473684210526,1962,2
1.15,1.94,0.8421052631578947,1537,1.78,1.26,1.5789473684210527,1774,2
0.89,1.31,1.0526315789473684,1543,0.78,1.52,0.6842105263157895,1510,0
1.26,1.00,1.4210526315789473,1675,0.63,1.94,0.5263157894736842,1461,0
1.68,1.21,1.5263157894736843,1632,0.78,1.42,0.8947368421052632,1521,0
1.57,1.68,1.3157894736842106,1588,1.36,1.05,1.631578947368421,1691,2
0.89,1.21,1.3157894736842106,1514,1.15,1.94,0.8421052631578947,1537,0
0.63,1.94,0.5263157894736842,1461,1.31,1.84,1.0526315789473684,1543,2
1.31,0.94,1.368421052631579,1668,2.05,1.42,1.4736842105263157,1711,0
0.73,1.84,0.5789473684210527,1504,1.26,1.00,1.4210526315789473,1675,2
0.78,1.52,0.6842105263157895,1510,0.84,1.21,0.9473684210526315,1542,0
1.78,1.26,1.5789473684210527,1774,1.47,1.10,1.6842105263157894,1702,0
2.00,0.57,2.789473684210526,1962,1.94,0.89,2.3157894736842106,1842,0
1.63,0.73,2.0526315789473686,1771,0.89,1.31,1.0526315789473684,1543,0
0.78,1.42,0.8947368421052632,1521,1.57,1.68,1.3157894736842106,1588,2
1.15,1.94,0.8421052631578947,1537,1.36,1.05,1.631578947368421,1691,1
0.84,1.21,0.9473684210526315,1542,1.47,1.10,1.6842105263157894,1702,2
1.78,1.26,1.5789473684210527,1774,0.63,1.94,0.5263157894736842,1461,0
1.94,0.89,2.3157894736842106,1842,0.89,1.21,1.3157894736842106,1514,0
2.00,0.57,2.789473684210526,1962,0.78,1.52,0.6842105263157895,1510,0
1.31,1.84,1.0526315789473684,1543,0.73,1.84,0.5789473684210527,1504,0
0.89,1.31,1.0526315789473684,1543,1.68,1.21,1.5263157894736843,1632,1
2.05,1.42,1.4736842105263157,1711,1.26,1.00,1.4210526315789473,1675,1
1.63,0.73,2.0526315789473686,1771,1.31,0.94,1.368421052631579,1668,0
1.26,1.00,1.4210526315789473,1675,1.94,0.89,2.3157894736842106,1842,2
1.36,1.05,1.631578947368421,1691,2.05,1.42,1.4736842105263157,1711,1
1.47,1.10,1.6842105263157894,1702,1.31,1.84,1.0526315789473684,1543,0
0.63,1.94,0.5263157894736842,1461,2.00,0.57,2.789473684210526,1962,2
0.73,1.84,0.5789473684210527,1504,0.84,1.21,0.9473684210526315,1542,2
0.78,1.52,0.6842105263157895,1510,1.78,1.26,1.5789473684210527,1774,0
1.68,1.21,1.5263157894736843,1632,1.63,0.73,2.0526315789473686,1771,2
0.89,1.21,1.3157894736842106,1514,0.89,1.31,1.0526315789473684,1543,0
1.31,0.94,1.368421052631579,1668,0.78,1.42,0.8947368421052632,1521,0
1.57,1.68,1.3157894736842106,1588,1.15,1.94,0.8421052631578947,1537,0
1.68,1.21,1.5263157894736843,1632,1.31,0.94,1.368421052631579,1668,1
0.78,1.42,0.8947368421052632,1521,2.05,1.42,1.4736842105263157,1711,0
0.84,1.21,0.9473684210526315,1542,1.26,1.00,1.4210526315789473,1675,1
1.78,1.26,1.5789473684210527,1774,0.73,1.84,0.5789473684210527,1504,1
2.00,0.57,2.789473684210526,1962,1.57,1.68,1.3157894736842106,1588,0
1.31,1.84,1.0526315789473684,1543,0.78,1.52,0.6842105263157895,1510,0
1.15,1.94,0.8421052631578947,1537,1.47,1.10,1.6842105263157894,1702,2
0.89,1.31,1.0526315789473684,1543,1.36,1.05,1.631578947368421,1691,1
1.94,0.89,2.3157894736842106,1842,1.31,0.94,1.368421052631579,1668,0
1.63,0.73,2.0526315789473686,1771,0.89,1.21,1.3157894736842106,1514,2
0.63,1.94,0.5263157894736842,1461,1.68,1.21,1.5263157894736843,1632,2
1.26,1.00,1.4210526315789473,1675,0.78,1.42,0.8947368421052632,1521,0
1.57,1.68,1.3157894736842106,1588,1.31,1.84,1.0526315789473684,1543,0
1.68,1.21,1.5263157894736843,1632,1.94,0.89,2.3157894736842106,1842,0
1.47,1.10,1.6842105263157894,1702,0.63,1.94,0.5263157894736842,1461,0
1.31,0.94,1.368421052631579,1668,0.84,1.21,0.9473684210526315,1542,0
0.73,1.84,0.5789473684210527,1504,1.15,1.94,0.8421052631578947,1537,1
2.05,1.42,1.4736842105263157,1711,0.89,1.31,1.0526315789473684,1543,2
0.89,1.21,1.3157894736842106,1514,2.00,0.57,2.789473684210526,1962,2
0.78,1.52,0.6842105263157895,1510,1.63,0.73,2.0526315789473686,1771,2
1.36,1.05,1.631578947368421,1691,1.78,1.26,1.5789473684210527,1774,0
1.78,1.26,1.5789473684210527,1774,2.05,1.42,1.4736842105263157,1711,1
0.84,1.21,0.9473684210526315,1542,1.68,1.21,1.5263157894736843,1632,0
0.78,1.42,0.8947368421052632,1521,0.89,1.21,1.3157894736842106,1514,0
1.63,0.73,2.0526315789473686,1771,1.26,1.00,1.4210526315789473,1675,1
1.31,1.84,1.0526315789473684,1543,1.15,1.94,0.8421052631578947,1537,0
0.63,1.94,0.5263157894736842,1461,0.78,1.52,0.6842105263157895,1510,1
1.31,0.94,1.368421052631579,1668,0.73,1.84,0.5789473684210527,1504,0
0.89,1.31,1.0526315789473684,1543,1.57,1.68,1.3157894736842106,1588,1
1.94,0.89,2.3157894736842106,1842,1.36,1.05,1.631578947368421,1691,0
2.00,0.57,2.789473684210526,1962,1.47,1.10,1.6842105263157894,1702,0
2.05,1.42,1.4736842105263157,1711,0.63,1.94,0.5263157894736842,1461,0
1.26,1.00,1.4210526315789473,1675,1.78,1.26,1.5789473684210527,1774,2
1.57,1.68,1.3157894736842106,1588,1.63,0.73,2.0526315789473686,1771,0
0.89,1.21,1.3157894736842106,1514,0.84,1.21,0.9473684210526315,1542,1
1.15,1.94,0.8421052631578947,1537,0.89,1.31,1.0526315789473684,1543,0
0.78,1.52,0.6842105263157895,1510,0.78,1.42,0.8947368421052632,1521,2
1.47,1.10,1.6842105263157894,1702,1.94,0.89,2.3157894736842106,1842,2
